"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1063","2","60","155","23.883656095483","-41.767312190966","0.174672301798074","343.500368303165","233.843094975339","2"
"1064","cds-hnc","2","60","155",NA,NA,NA,"0.455138317566755","-35.5758531697065"
"1065","cds-hrp","2","60","155",NA,NA,NA,"0.218952043937041","-40.2195924357599"
"1066","2","60","156","12.99191290315","-19.9838258062999","0.356292168851408","168.401119209059","233.843094975339","2"
"1067","cds-hnc","2","60","156",NA,NA,NA,"0.602008743576244","-10.8175319800402"
"1068","cds-hrp","2","60","156",NA,NA,NA,"0.313422980349633","-19.6342406092696"
"1069","2","60","157","18.0673037509737","-30.1346075019473","0.271580840335173","220.928692635131","233.843094975339","2"
"1070","cds-hnc","2","60","157",NA,NA,NA,"0.547867822680017","-17.342637305462"
"1071","cds-hrp","2","60","157",NA,NA,NA,"0.144908721127106","-31.0555120552177"
"1072","2","60","158","27.438277911667","-48.8765558233341","0.177799778942261","337.458237332705","233.843094975339","2"
"1073","cds-hnc","2","60","158",NA,NA,NA,"0.438584585653117","-39.2952935174569"
"1074","cds-hrp","2","60","158",NA,NA,NA,"0.186266761959444","-48.1843574756929"
"1075","2","60","159","24.63144170418","-43.26288340836","0.27276146524001","219.972421497312","233.843094975339","2"
"1076","cds-hnc","2","60","159",NA,NA,NA,"0.488459990297878","-26.8742705243477"
"1077","cds-hrp","2","60","159",NA,NA,NA,"0.195495414824577","-42.5932461996089"
"1078","2","60","160","27.5507271246508","-45.1014542493017","0.00934705341222466","6419.13524550189","233.843094975339","3"
"1079","cds-hnc","2","60","160",NA,NA,NA,"0.444362685774331","-37.9655294845201"
"1080","cds-hrp","2","60","160",NA,NA,NA,"0.276549442398663","-45.3480810705924"
"1081","2","60","161","21.9784315319278","-37.9568630638555","0.2979417013211","201.381678811508","233.843094975339","2"
"1082","cds-hnc","2","60","161",NA,NA,NA,"0.515211201175188","-24.2477390869574"
"1083","cds-hrp","2","60","161",NA,NA,NA,"0.287289199463728","-38.1838428356996"
"1084","2","60","162","18.5448471849638","-31.0896943699277","0.190777084624775","314.503181123715","233.843094975339","2"
"1085","cds-hnc","2","60","162",NA,NA,NA,"0.529808405929576","-19.9433295964449"
"1086","cds-hrp","2","60","162",NA,NA,NA,"0.212284537218348","-31.8392612055268"
"1087","2","60","163","23.7995361400231","-41.5990722800462","0.195589238798515","306.765343372539","233.843094975339","2"
"1088","cds-hnc","2","60","163",NA,NA,NA,"0.464777682604059","-33.5352543700339"
"1089","cds-hrp","2","60","163",NA,NA,NA,"0.618904196340835","-20.3523094401018"
"1090","2","60","164","20.3536437409956","-34.7072874819911","0.253889627280125","236.32316389909","233.843094975339","2"
"1091","cds-hnc","2","60","164",NA,NA,NA,"0.513851858186177","-21.9027446658059"
"1092","cds-hrp","2","60","164",NA,NA,NA,"0.228684100793874","-35.5079323373495"
"1093","2","60","165","20.4528226858893","-34.9056453717787","0.313320630951087","191.497124903233","233.843094975339","2"
"1094","cds-hnc","2","60","165",NA,NA,NA,"0.500645687036739","-23.332368719175"
"1095","cds-hrp","2","60","165",NA,NA,NA,"0.218322631119838","-35.3427442881262"
